School Description,Bachelor's,Master's,Doctoral Research,Doctoral Professional,Certificate,Totals
Columbia College,1203,0,0,0,0,1203
Engineering (Undergraduate),525,0,0,0,0,525
General Studies,481,0,0,0,80,561
Architecture,0,737,4,0,8,749
Arts,0,341,0,0,0,341
Business,0,1238,11,0,16,1265
Climate,0,1,0,0,0,1
Engineering (Gradaute),0,1586,110,0,114,1810
GSAS,0,1016,250,0,206,1472
SIPA,0,557,3,0,6,566
Journalism,0,397,2,0,8,407
Law,0,503,3,410,10,926
Professional Studies,0,1358,0,0,26,1384
Social Work,0,532,3,0,10,545
College of Physicians & Surgeons,0,191,80,220,78,569
Dental Medicine,0,14,0,95,29,138
Nursing,0,254,4,122,85,465
Public Health,0,647,28,0,385,1060
Teachers College Doctoral Studies,0,0,80,0,58,138
