Program Description,Offering Unit(s),Major,Concentration,Totals
African-American Studies,Institute for Research in African American Studies,2,0,2
American Studies,American Studies,3,0,3
Anthropology,Anthopology,7,0,7
Archaeology,Archeology,1,1,2
Architecture,Archtecture (Barnard),2,0,2
Art History,Art History and Archaeology,4,2,6
Art History and Visual Arts,Art History and Archaeology-Visual Arts (SOA),1,0,1
Biochemistry,Biological Sciences - Chemistry,1,0,1
Biological Sciences,Biological Sciences,9,0,9
Chemical Physics,Chemistry,1,0,1
Classics,Classics,1,0,1
Comparative Literature and Society,Institute for Comparative Literature and Society,3,0,3
Computer Science,Computer Science,50,3,53
Computer Science and Mathematics,Computer Science-Mathematics,2,0,2
Creative Writing,Writing: Undergraduate (School of the Arts),16,0,16
Data Science,Computer Science-Statistics,2,0,2
Earth Sciences,Earth and Environmental Sciences,2,0,2
East Asian Studies,East Asian Languages and Cultures,3,2,5
Economics,Economics,37,2,39
Economics-Mathematics,Economics-Mathematics,6,0,6
Economics-Philosophy,Economics-Philosophy,1,0,1
Economics-Political Science,Economics-Political Science,4,0,4
Economics-Statistics,Economics-Statistics,3,0,3
English,English and Comparative Literature,19,0,19
Environmental Biology,"Ecology, Evolution, and Environmental Biology",2,0,2
Environmental Chemistry,Chemistry,1,0,1
Environmental Science,Earth and Environmental Sciences,1,0,1
Ethnicity and Race Studies,Center for the Study of Ethnicity and Race,3,2,5
Evolutionary Biology of the Human Species,"Ecology, Evolution, and Environmental Biology",7,0,7
Film and Media Studies,Film (School of the Arts),15,0,15
Financial Economics,Economics,32,0,32
French,French and Romance Philology,0,1,1
French and Francophone Studies,French and Romance Philology,1,0,1
Hispanic Studies,Latin American and Iberian Cultures,2,0,2
History,History,24,3,27
History and Theory of Architecutre,Art History and Archaeology,2,0,2
Human Rights,Human Rights,19,0,19
Information Sciences,Computer Science,4,0,4
Italian,Italian,1,0,1
Latin-American and Caribbean Studies,Latin-American and Caribbean Regional Studies,1,0,1
Linguistics,Linguistics,2,0,2
Mathematics,Mathematics,3,4,7
Mathematics-Statistics,Mathematics-Statistics,7,0,7
Medical Humanities,Institute for Comparative Literature and Society,1,0,1
Medieval and Renaissance Studies,Medieval and Renaissance Studies,0,1,1
"Middle Eastern, South Asian, and African Studies","Middle Eastern, South Asian, and African Studies",3,0,3
Music,Music,1,0,1
Neuroscience and Behavior,Biological Sciences-Psychology,14,0,14
Philosophy,Philosophy,11,0,11
Physics,Physics,2,0,2
Political Science,Political Science,64,1,65
Political Science-Statistics,Political Science-Statistics,1,0,1
Psychology,Psychology,46,1,47
Religion,Religion,5,0,5
Russian Language and Culture,Slavic Languages,1,0,1
Slavic Studies,Slavic Languages,1,0,1
Sociology,Sociology,12,1,13
Statistics,Statistics,2,3,5
Sustainable Development,Earth Institute,14,0,14
Urban Studies,Urban Studies,4,0,4
Visual Arts,Visual Arts (School of the Arts),5,3,8
Grand Totals,,494,30,524
,,,,
Total number of degrees awarded:,481,,,
